,United States Interest,United Kingdom Interest,United States Inflation,United Kingdom Inflation,United States Unemployment,United Kingdom Unemployment,DEXUSUK
1983-02-01,8.54,11.3338,0.037076271186440746,0.0492594977462979,10.4,10.7,1.5115
1983-03-01,8.69,10.9757,0.03484688489968324,0.053427743804314476,10.4,10.8,1.4825
1983-04-01,8.63,10.2616,0.035902851108764455,0.04626675175494377,10.3,10.8,1.5573
1983-05-01,8.49,10.2593,0.040000000000000036,0.040037535189239915,10.2,11.0,1.6005
1983-06-01,9.2,9.9384,0.0344108446298228,0.036956521739131665,10.1,10.9,1.533
1983-07-01,9.5,9.8919,0.024742268041237248,0.03654382161660141,10.1,11.0,1.52
1983-08-01,9.77,9.8666,0.02358974358974364,0.04179566563467496,9.4,10.9,1.494
1983-09-01,9.39,9.6902,0.02456499488229258,0.04611575363664566,9.5,10.9,1.4977
1983-10-01,9.18,9.38,0.02763561924257929,0.05140910498606521,9.2,10.9,1.4952
1983-11-01,9.36,9.3027,0.02752293577981657,0.04992295839753402,8.8,10.8,1.463
1983-12-01,9.69,9.4245,0.031632653061224536,0.04845139527752429,8.5,10.8,1.4515
1984-01-01,9.42,9.446,0.03787103377686796,0.053149001536097584,8.3,10.8,1.4012
1984-02-01,9.54,9.38,0.04290091930541351,0.05124271248849155,8.0,10.7,1.4905
1984-03-01,10.08,8.9525,0.04693877551020398,0.05102352581729108,7.8,10.8,1.4375
1984-04-01,10.41,8.8803,0.04892966360856277,0.05245501677340636,7.8,10.7,1.398
1984-05-01,11.11,9.4002,0.045546558704453455,0.051729323308270514,7.7,10.7,1.3855
1984-06-01,11.34,9.451,0.043346774193548265,0.05121293800538873,7.4,10.7,1.3575
1984-07-01,11.56,11.5145,0.04325955734406439,0.05138930385419771,7.2,10.8,1.3073
1984-08-01,11.47,11.0748,0.043086172344689366,0.04457652303120341,7.5,10.9,1.3075
1984-09-01,11.29,10.8323,0.04295704295704317,0.04970414201183426,7.5,10.9,1.234
1984-10-01,10.38,10.6659,0.042828685258964105,0.04712812960235713,7.3,11.0,1.2185
1984-11-01,9.18,9.9057,0.04265873015873023,0.049897270325800935,7.4,11.0,1.197
1984-12-01,8.6,9.8234,0.041543026706231556,0.04942965779467623,7.2,11.1,1.158
1985-01-01,8.14,11.6798,0.04043392504930954,0.04579929988331388,7.3,11.1,1.1305
1985-02-01,8.69,13.783,0.0352595494613126,0.05020431990659646,7.3,11.2,1.079
1985-03-01,9.02,13.6295,0.03606237816764146,0.053958205834353734,7.2,11.2,1.236
1985-04-01,8.49,12.764,0.03790087463556846,0.06088751289989691,7.2,11.2,1.241
1985-05-01,7.92,12.6624,0.03581800580832528,0.06949565793236201,7.3,11.3,1.286
1985-06-01,7.44,12.4373,0.035748792270531515,0.07003048932873468,7.2,11.3,1.3095
1985-07-01,7.64,12.0357,0.03664416586306651,0.0695360524072326,7.4,11.2,1.411
1985-08-01,7.81,11.4952,0.03458213256484166,0.06850839759426841,7.4,11.2,1.391
1985-09-01,7.93,11.5488,0.03352490421455934,0.06190601574398236,7.1,11.2,1.4085
1985-10-01,7.88,11.5485,0.032473734479465,0.05870530757272863,7.1,11.2,1.4405
1985-11-01,7.81,11.5705,0.032350142721217834,0.05439969787482424,7.1,11.2,1.489
1985-12-01,7.8,11.764,0.03513770180436859,0.054465787517846254,7.0,11.1,1.445
1986-01-01,7.82,12.8291,0.03791469194312791,0.05644865301328661,7.0,11.2,1.412
1986-02-01,7.69,12.6713,0.039735099337748325,0.054824561403509,6.7,11.2,1.446
1986-03-01,7.24,11.7821,0.0319849482596426,0.05114254624592052,7.2,11.1,1.4735
1986-04-01,6.6,10.5014,0.021535580524344455,0.04202586206896508,7.2,11.2,1.551
1986-05-01,6.65,10.2125,0.015887850467289688,0.030590717299577852,7.1,11.3,1.4723
1986-06-01,6.73,9.7705,0.01679104477611948,0.02731092436974847,7.2,11.3,1.532
1986-07-01,6.37,9.9659,0.017674418604651132,0.025157232704402066,7.2,11.3,1.4915
1986-08-01,5.92,9.8595,0.01671309192200554,0.024159663865547687,7.0,11.3,1.488
1986-09-01,5.71,10.133,0.01575532900834098,0.024083769633507,6.9,11.3,1.4468
1986-10-01,5.69,11.09,0.01757631822386685,0.030398322851152626,7.0,11.3,1.4055
1986-11-01,5.76,11.1915,0.015668202764977046,0.030334728033472258,7.0,11.2,1.4335
1986-12-01,6.04,11.3114,0.012844036697247763,0.03545359749739285,6.9,11.2,1.4825
1987-01-01,5.87,11.0452,0.01187214611872145,0.03749999999999809,6.6,11.2,1.514
1987-02-01,6.1,10.824,0.01364877161055511,0.03950103950104111,6.6,11.1,1.546
1987-03-01,6.17,9.9498,0.019143117593436676,0.03933747412008204,6.6,11.0,1.607
1987-04-01,6.52,9.7808,0.028414298808432603,0.04033092037228503,6.6,10.9,1.6605
1987-05-01,6.99,8.8155,0.03679852805887762,0.04196519959058409,6.3,10.8,1.6295
1987-06-01,6.94,8.8923,0.03669724770642202,0.041922290388548555,6.3,10.6,1.6128
1987-07-01,6.7,9.1926,0.03747714808043878,0.041922290388548555,6.2,10.5,1.591
1987-08-01,6.75,10.045,0.03926940639269394,0.04410256410256341,6.1,10.3,1.6328
1987-09-01,7.37,10.1609,0.042883211678832245,0.04396728016359841,6.0,10.1,1.6248
1987-10-01,8.02,9.9582,0.042727272727272725,0.04170905391658253,5.9,10.0,1.7215
1987-11-01,7.24,8.9426,0.04355716878402904,0.044670050761421054,6.0,9.8,1.8256
1987-12-01,7.66,8.7688,0.04528985507246386,0.04128902316213545,5.8,9.6,1.886
1988-01-01,6.92,8.9305,0.04332129963898912,0.03714859437751117,5.7,9.4,1.7691
1988-02-01,6.6,9.265,0.04129263913824044,0.03299999999999903,5.7,9.2,1.7735
1988-03-01,6.63,8.8852,0.03935599284436497,0.031078245652782943,5.7,9.1,1.8865
1988-04-01,6.92,8.3032,0.03832442067736186,0.03340723251111766,5.7,8.9,1.8785
1988-05-01,7.24,8.0343,0.03992901508429458,0.03420729638364439,5.4,8.8,1.8382
1988-06-01,7.51,8.9323,0.03982300884955747,0.037515353277074226,5.6,8.7,1.7085
1988-07-01,7.94,10.5452,0.0396475770925111,0.04183833391572889,5.4,8.5,1.71
1988-08-01,8.35,11.3984,0.04130052724077338,0.04286175074668752,5.4,8.4,1.6825
1988-09-01,8.23,12.1543,0.04111986001749779,0.04626928321871926,5.6,8.3,1.691
1988-10-01,8.36,12.0198,0.04184829991281602,0.047505913512792874,5.4,8.4,1.769
1988-11-01,8.78,12.3282,0.04260869565217407,0.04883744542593105,5.4,8.0,1.8493
